415,CommScope Holding,9228,-1287
416,KLA,9212,3322
417,JetBlue Airways,9158,-362
418,Motorola Solutions,9112,1363
419,Citizens Financial Group,9069,2073
420,Coterra Energy,9051,4065
421,Avery Dennison,9039,757
422,PVH,9024,200
423,GXO Logistics,8993,197
424,Polaris,8987,447
425,Global Payments,8976,112
426,Arconic,8961,-182
427,Vertex Pharmaceuticals,8931,3322
428,Commercial Metals,8914,1217
429,Autoliv,8842,423
430,Constellation Brands,8821,-40
431,Hilton Worldwide Holdings,8773,1255
432,Foot Locker,8759,342
433,Huntsman,8715,460
434,Burlington Stores,8703,230
435,Hertz Global Holdings,8685,2059
436,Masco,8680,844
437,Williams-Sonoma,8674,1128
438,Chipotle Mexican Grill,8635,899
439,M&T Bank,8604,1992
440,LPL Financial Holdings,8601,846
441,CMS Energy,8596,837
442,Campbell Soup,8562,757
443,Arthur J. Gallagher,8551,1114
444,Blackstone,8518,1748
445,Dover,8508,1065
446,ODP,8491,166
447,Packaging Corp. of America,8478,1030
448,Brighthouse Financial,8473,5
449,Beacon Roofing Supply,8430,458
450,Airbnb,8399,1893
451,Boise Cascade,8387,858
452,Booz Allen Hamilton Holding,8364,467
453,Westinghouse Air Brake Technologies,8362,633
454,ON Semiconductor,8326,1902
455,Oshkosh,8282,174
456,Franklin Resources,8275,1292
457,Taylor Morrison Home,8225,1053
458,A-Mark Precious Metals,8159,133
459,KeyCorp,8130,1917
460,ARKO,8128,72
461,Lululemon athletica,8111,855
462,Old Republic International,8084,686
463,Zoetis,8080,2114
464,Marathon Oil,8036,3612
465,J.M. Smucker,7999,632
466,Huntington Bancshares,7950,2238
467,NGL Energy Partners,7948,-185
468,Ingredion,7946,492
469,Fortune Brands Innovations,7923,687
470,PPL,7902,756
471,Sanmina,7891,256
472,Bed Bath & Beyond,7868,-560
473,Cintas,7855,1236
474,NCR,7844,60
475,ABM Industries,7807,230
476,Rockwell Automation,7760,932
477,Northern Trust,7752,1336
478,XPO,7718,666
479,Science Applications International,7704,300
480,Ameren,7662,1074
481,First American Financial,7605,263
482,Bath & Body Works,7560,800
483,Regions Financial,7531,2245
484,Activision Blizzard,7528,1513
485,Avantor,7512,687
486,Genworth Financial,7507,609
487,EQT,7498,1771
488,Skechers U.S.A.,7445,373
489,Landstar System,7440,431
490,Knight-Swift Transportation Holdings,7429,771
491,SVB Financial Group,7401,1672
492,Par Pacific Holdings,7322,364
493,Albemarle,7320,2690
494,Vulcan Materials,7315,576
495,Watsco,7274,601
496,KKR,7273,-841
497,Equinix,7263,704
498,Sonoco Products,7251,466
499,ServiceNow,7245,325
500,Robert Half International,7238,658
